A,B,C,D,E,F,G,H,I,J,K,Name
37.85654325,30.4765854,8.212400225,92.07355836,14.60282632,10.39137147,57.99415052,44.637034,27.78217213,74.76169768,9.846202555,Baxan
29.68306935,36.60725094,1.324680971,80.19055701,10.36463342,6.256093089,50.90928946,42.0021989,26.67076482,43.87413553,10.85303912,Baxan
78.41286479,41.77410979,41.60508157,43.40311176,9.874971376,64.66905775,55.38009801,65.45446505,26.83998327,43.29904427,11.48660481,Choluteco
41.52655654,24.04442079,99.19256989,61.60356415,17.44792078,69.71607994,52.65637706,13.1159631,17.0492291,46.08238116,10.22707157,Albukerke
59.34678845,18.7047004,46.79119926,62.68414258,41.25277458,59.58258444,11.67963472,53.99402298,4.013729602,59.52572945,8.814423409,Dum
61.24989385,19.82355319,71.95323413,70.39645328,16.73517502,54.10646975,11.08528143,58.59236088,4.975590845,74.31469184,8.768559281,Dum
35.42172708,34.16844682,95.04168986,65.57481134,15.32784631,67.96851927,95.3286373,11.23094298,17.40335854,61.99558729,11.88202556,Albukerke
40.66823118,31.05998556,98.38380907,66.65992312,14.17027743,65.19519665,70.06346944,17.18407774,8.77058823,63.46157764,11.76104291,Albukerke
40.19362691,15.74287965,98.32680121,63.49102613,18.37357669,68.59208543,10.34184246,24.30327751,5.388667368,55.44460871,10.70943704,Albukerke
30.83210268,17.6110819,96.00646126,67.32350891,13.25092048,62.82119372,68.80409039,9.849790541,4.147623341,45.68399367,11.37313466,Albukerke
66.06986955,21.15107482,45.00867362,69.50082948,48.62677656,51.79569851,41.41723303,6.605288674,20.54020802,52.84305352,8.921992213,Dum
29.06901918,32.60113923,95.68251232,67.67647355,17.91515802,67.73116185,13.723694,12.68982271,26.58745779,53.64177605,10.89608797,Albukerke
76.72991193,42.36655717,42.7842309,77.21812056,8.221051271,71.54313323,57.23638965,57.25280874,29.78322136,41.78196836,12.05326389,Choluteco
48.47540893,40.99157826,8.855486313,59.69363397,1.282986424,63.020738,47.62556215,28.72604613,28.98969727,63.08595921,9.30638896,Baxan
68.79438092,52.4214065,74.33877174,19.1907231,17.00425671,64.46350638,83.89024415,35.30450494,21.60268866,68.06481589,11.25595745,Eugene
53.1696382,76.35603003,66.11097204,55.6359866,23.49254557,71.06259982,51.24059616,38.5314557,5.330546116,70.38369688,11.5476845,Eugene
59.10210542,15.41033047,58.63776321,72.04041711,39.66590353,55.95900709,39.48353886,29.24017384,6.917582839,57.37630257,8.300273852,Dum
65.81650031,19.78034389,55.35041291,66.7749262,12.65783082,53.36970053,7.947020855,2.32418641,7.110800101,69.06306917,8.874004653,Dum
78.17211671,43.27433124,39.99648708,35.77238237,18.11715116,59.26876148,58.05068976,68.56230974,11.52754301,48.74093636,12.72969302,Choluteco
68.47968286,21.65364009,57.77897149,64.27565968,46.38958373,51.13128028,6.898364041,54.18308934,22.36496769,57.71497225,8.343127201,Dum
49.13035814,44.46349266,14.72120597,67.73619522,7.919103209,17.61251725,55.4596944,38.95106492,22.7405486,37.32442205,9.044991353,Baxan
27.70817918,28.28234821,99.84933421,60.01278552,10.95794811,61.04542939,50.63017114,4.65922885,18.56437627,53.49890228,10.76970874,Albukerke
49.43730274,55.29863983,55.01694464,59.40688254,23.1763384,48.09087809,69.46845222,33.37617992,10.2308337,77.17694843,12.30768593,Eugene
60.39512757,58.51520834,58.94077718,50.01832367,19.39041834,61.5927465,50.7833679,39.03042812,17.36551002,76.96705307,11.65432426,Eugene
23.40976314,33.07590853,10.42603237,47.60432365,1.583243333,56.75272493,58.75798465,46.9359076,11.31589519,39.62662092,10.30260424,Baxan
45.60069575,37.71903568,8.173708562,77.59782221,4.834448185,18.65802446,46.61863127,28.30178567,14.76087019,35.02750865,9.367554122,Baxan
51.89754455,45.40629431,66.34404898,32.12489683,23.27921527,57.97421492,96.29464185,55.36290693,8.242952768,86.40592769,12.68831444,Eugene
44.35706264,79.98340924,60.6952908,34.00846735,20.58458277,49.43715421,78.30680314,44.35737401,5.391780074,61.70437189,13.13523043,Eugene
59.33900139,22.00337364,66.82832503,66.62170587,44.46488969,59.57929014,10.61146064,7.140049089,12.75265398,71.99242799,9.323996974,Dum
66.86280723,53.35743185,65.42652094,37.82907104,20.33268755,62.75745445,93.06311318,36.95020738,15.78126019,82.35000382,12.1271841,Eugene
84.25724499,40.21769478,26.39643558,34.50770707,9.737060423,62.39857702,56.35474326,56.09217833,15.26074356,47.82538252,11.49053613,Choluteco
51.94554176,32.73198657,14.76894886,63.67489814,1.15560423,5.906238038,63.2561607,40.8135607,24.75437294,40.84432197,10.97814445,Baxan
59.62892706,57.20639824,48.15099959,58.8832549,24.88610304,59.22974809,62.70443526,38.81436375,8.239302155,74.09171358,12.26576085,Eugene
62.55806475,19.3641078,69.1495549,67.05054782,19.17819409,51.49925423,8.466542155,72.42927685,7.896333815,68.92069304,8.780874632,Dum
36.98934708,24.23546756,96.28243023,67.50881627,16.6774552,62.31902074,31.79917227,2.395735549,8.455284247,62.37563488,10.59732736,Albukerke
49.26511517,27.89212013,97.9256086,65.31668591,19.61888234,64.59441183,8.654823707,17.74842409,15.27397951,53.71367013,10.40542397,Albukerke
76.16663175,44.28606007,25.2432666,24.84694748,14.96235633,63.96112734,59.21826346,57.3875262,31.67813629,44.24418051,12.44659415,Choluteco
49.39954867,78.5239376,64.76772036,3.816955019,17.08548277,62.99006099,58.60824285,66.15967329,9.897673757,68.50030065,11.09938834,Eugene
31.87039537,21.82939566,97.59440459,60.95389046,17.49193036,61.11279448,37.74901929,23.41565426,14.90173796,46.9611237,10.61977261,Albukerke
48.85774533,66.86390023,74.67907998,12.01047013,20.16899774,56.71491614,64.47431279,33.37967365,14.76277262,83.73427401,11.8675052,Eugene
55.68823706,57.22528855,56.9607429,26.411155,24.97751937,68.72113328,80.47218989,63.53034279,16.55392816,72.05258587,12.30502254,Eugene
79.89803941,42.3521353,40.69520917,57.71384107,11.71970008,57.83902799,56.13462037,57.72439029,6.223708628,45.40016946,12.27957262,Choluteco
49.51191291,32.05058401,96.90641594,64.1080888,10.26031141,65.80068606,89.25681525,22.53967088,20.26393638,55.57741653,10.64749949,Albukerke
49.21493312,77.2826845,58.80129666,18.45343399,18.71002029,53.16458489,86.7702575,49.34293542,21.65519688,73.79069044,11.40511597,Eugene
68.19801403,18.62144592,45.14207901,73.20795141,20.21886151,52.11200784,14.58217466,38.35048521,7.995117744,72.40085551,8.721122248,Dum
56.49051964,20.38492595,69.94201502,67.41427893,22.67812291,58.48574844,16.98791002,74.7304694,8.073605032,67.53264505,9.824521437,Dum
68.61060275,19.18162771,61.40936902,67.11813155,39.18383009,58.65268681,25.0406985,33.46464954,22.69435762,66.16144665,8.232943328,Dum
37.14599969,29.48928458,95.94295593,69.66109523,17.24196525,62.03236866,29.21412083,1.437470896,29.30016121,57.82383065,10.23642623,Albukerke
65.87667133,50.72303723,69.85672176,15.38307654,19.9668694,52.76495707,81.16559479,54.89721345,6.874437121,69.5403176,13.80604308,Eugene
38.83583722,27.53385952,98.19160124,66.35611694,11.84117197,67.50816934,50.05124904,0.261738753,2.332257004,63.65807254,11.49546962,Albukerke
41.72366225,33.3951635,13.26489138,54.99649539,13.76712881,52.89605692,48.12849007,39.97647586,20.95044122,51.10939006,10.36411791,Baxan
49.81304985,18.83338086,98.9209654,69.82026921,17.0521478,69.79559065,72.6130278,10.78001512,14.89334391,64.00817737,11.43277387,Albukerke
35.97319867,26.67557538,97.60312449,63.25478582,18.38973379,63.28625014,51.79935111,14.70983351,29.33572285,59.11848631,11.26080547,Albukerke
47.60632529,77.89020817,45.53285881,31.97668193,17.95308014,69.62874788,86.52887096,39.37253765,17.5302543,85.14587541,12.50637974,Eugene
37.37968302,60.16702244,68.21274828,6.14568726,21.95832214,47.21836759,69.55769023,25.117526,16.95577806,60.6283439,11.67925113,Eugene
46.18180048,22.499759,95.88399098,67.67402024,15.15114226,60.10531911,89.92420109,9.943734773,26.27057247,47.52616952,10.83232999,Albukerke
47.54030443,78.79633662,59.56500814,13.3482637,15.00127375,53.5879768,51.45167999,73.39437743,16.49315741,85.9974945,11.62942421,Eugene
81.69975515,43.7777027,25.45243759,54.00485602,2.07173792,65.40122933,59.49829937,64.07623988,29.85585001,48.6258366,11.15800812,Choluteco
37.43457751,64.42859349,63.08607597,9.630532791,16.48516621,58.89799205,55.72247492,42.98167577,12.70301098,86.72811071,13.85474519,Eugene
42.23649507,24.81922166,98.75464307,66.30011694,16.91901529,60.37138949,32.82098793,14.77569017,25.65247498,49.24398314,10.19464036,Albukerke
55.68314625,19.51412071,62.48228122,66.02432856,36.9693965,52.10888363,21.67349253,25.0309112,10.52493422,71.24628227,8.704379706,Dum
12.59743626,43.45732456,5.097635315,50.3914616,13.1402749,8.068725151,54.71603734,43.04911529,14.83502203,39.40091967,9.927156673,Baxan
45.23212773,30.81457481,2.516275391,88.25666068,0.804442791,54.32027208,63.57318367,32.32410404,7.285264152,37.24170683,9.545255021,Baxan
48.12096718,17.35512454,99.85341265,60.78936379,18.55866105,61.3795136,40.32880442,24.80006169,0.908827944,49.20877726,10.3304824,Albukerke
40.13047039,19.76877524,96.05211201,66.24745618,17.4128146,64.91122351,31.7317047,13.98853678,10.54348369,51.12277018,11.20596507,Albukerke
79.36769279,44.00187815,49.69180608,67.59759218,23.73611571,59.19105578,59.09889298,69.26071644,4.141237065,48.03937534,11.64797363,Choluteco
74.42813339,20.92981197,47.11173489,72.44143289,28.49320903,57.27264052,30.30050504,12.47719173,19.14598708,66.60811628,8.869280833,Dum
66.76797459,21.02940781,66.12189255,68.299576,13.77850702,53.60346312,30.11687763,42.33476536,13.58267291,56.29927313,8.573482283,Dum
39.70713898,21.66683985,97.72160272,60.61311224,12.93618083,60.52941882,15.024801,19.2943282,5.774935001,52.29752143,10.73384744,Albukerke
81.03215161,43.14252339,26.14241912,29.9265383,7.209027415,59.84416239,58.15978628,57.96024147,10.86429541,44.2480922,12.40939059,Choluteco
67.20166307,51.61086074,51.44897616,25.72599469,21.63329801,61.16862653,69.9841501,31.07763767,16.90556317,77.27691079,13.7516195,Eugene
38.53035476,34.06783991,97.54178115,69.17219149,18.38236621,69.61611207,92.73518538,16.84611807,11.32846392,57.31551419,11.31291044,Albukerke
83.02763934,42.92075293,34.27980912,68.9558817,4.347484733,66.53760056,58.09389578,61.54747587,28.10266068,47.62853675,12.71526227,Choluteco
75.04367939,41.86051915,29.82088203,25.30242384,8.070691461,59.55349105,58.89612315,68.16329109,11.79458381,40.86946224,12.4404723,Choluteco
75.82067147,44.4024432,25.62162763,26.46175791,9.084699206,70.13102814,58.58123863,72.89997954,15.58579536,43.17355999,12.69209543,Choluteco
59.84455415,23.86530428,68.15462552,67.40255194,14.26813928,50.8807019,47.3493714,57.29397607,5.141303876,73.94570567,8.85869376,Dum
56.67202849,23.37003507,64.41723167,69.08550423,15.45311522,57.05388238,12.68917021,71.77822439,10.16202508,68.86597707,8.593656395,Dum
36.31408612,39.02732988,13.42623346,49.45389182,3.613089513,23.1110169,62.77109906,39.93633849,21.71670474,60.79794967,9.67099875,Baxan
14.97060552,43.2083952,1.114955566,72.02286551,10.7105521,70.12452891,50.39256205,26.63825513,21.1595232,53.20999946,10.763192,Baxan
43.92803936,26.49201887,95.27853572,65.75944416,14.47746093,61.58782997,94.43271146,3.58611374,3.50659367,49.7118405,11.45994857,Albukerke
30.21629215,16.63566253,99.114182,60.21764525,17.5581333,61.1097371,93.18896261,19.47434363,22.95422758,45.5255446,11.33615194,Albukerke
58.78176415,18.86569892,74.6579634,73.71601521,46.00878504,59.00342011,0.42486593,28.56431248,17.80944764,55.5754393,8.17362779,Dum
42.21770405,76.05344815,64.51721822,14.12855861,23.42807085,50.69636761,66.97199491,67.45558151,17.27750787,73.08079934,13.75253723,Eugene
53.45854986,58.64785205,45.81044993,44.36904954,17.97447988,54.58698897,75.04107201,73.34970845,10.08587316,69.25916698,13.29254665,Eugene
30.57154974,18.35926769,95.47189598,65.16704341,17.74382936,61.17094485,14.94884036,6.038798087,7.440981756,55.21814529,10.60015578,Albukerke
77.59509351,43.38781278,30.69656787,45.9916099,13.32643228,66.6220837,55.8040587,55.87559461,7.095455804,41.00258655,11.08344799,Choluteco
42.8504503,42.76562408,10.39960143,59.25700029,5.105611139,10.9775632,61.79955803,41.80891952,22.01208881,53.32545345,9.228391652,Baxan
40.14514525,21.55594749,97.32079228,60.7289127,13.01994808,63.22800544,8.389496761,12.21694466,17.75702605,61.47394066,11.59051101,Albukerke
63.58815788,58.80502456,63.52235476,41.60634525,24.45403186,49.86634652,85.12067741,50.94523271,5.171372849,84.49660746,13.93993389,Eugene
68.05559273,21.71771967,65.76922371,71.81140488,32.36519436,59.5498482,31.50755108,62.46507393,16.59424911,64.87246417,8.56792266,Dum
79.7978229,43.95848691,41.30099511,53.80335347,3.16353269,71.68123561,55.40266881,66.78714077,13.16752805,40.80808311,12.33004412,Choluteco
72.79230811,18.70497185,57.34689,68.82894371,29.02977684,50.4598193,9.331263188,13.17101874,17.92055734,62.54217754,9.99236948,Dum
30.49711396,31.66016576,13.40407747,96.24454006,1.888634773,11.72562368,55.24193902,45.1437136,16.13214103,52.12633332,9.419333242,Baxan
35.05504885,33.68854958,97.71473025,66.42601097,18.2244002,63.39840563,51.70257232,21.40804542,3.580002792,64.08135766,11.78499291,Albukerke
59.82937858,38.46304825,0.660535401,52.84000649,14.68733132,25.53188276,64.40916828,28.9162542,14.31805112,47.58815979,10.57222169,Baxan
36.97558984,52.89367081,73.47585262,52.82393718,23.50058212,49.37156246,55.06901012,69.51772407,7.484435955,66.9623404,12.43610663,Eugene
69.7585047,72.22173619,58.51158241,25.69055908,21.55121747,45.45478008,80.2471151,59.62054471,14.16251149,77.31920712,11.84441557,Eugene
69.0504496,15.37004246,61.39658966,64.00138895,49.03414309,57.48775256,34.89323865,48.65360901,12.16306509,69.19060423,9.385754678,Dum
25.20907853,24.71721338,98.56461431,61.90672368,16.48795155,61.96267316,1.222949765,23.61513555,14.92211611,47.07053795,10.57965363,Albukerke
70.75514403,22.88853532,55.92389724,61.09217622,23.55454013,58.57200149,23.18766811,40.39208627,17.39141801,54.23459407,9.118244713,Dum
57.31272076,43.51948981,2.438835111,59.05806409,11.37582507,63.30771071,47.76363115,34.92814062,9.835814541,55.55373592,10.49925147,Baxan
26.49992844,22.94289258,99.57465472,63.99518656,16.69834022,63.03251575,64.24401252,3.840126086,17.65266208,56.47400709,11.37638303,Albukerke
57.18141107,22.48699557,51.06874914,70.10496853,45.55118173,55.62431481,36.19440771,81.06352325,23.97729436,63.65134539,8.525350242,Dum
16.17875117,31.69981267,5.576076237,73.21448122,13.0596533,11.2944993,45.19241265,33.01459481,25.36164185,53.48874802,10.69518268,Baxan
75.81614198,41.30667563,35.00470636,56.92100461,2.637814024,69.14956805,57.91869586,62.06864269,19.09013247,46.02969327,12.97458309,Choluteco
68.67066054,21.10545174,45.024284,66.11925782,45.83770022,51.65643782,10.26384119,62.11308385,9.762899156,51.08114645,8.159570675,Dum
82.69298935,43.20722061,29.68575396,77.54862046,7.207531271,56.0911545,58.53082891,66.32071621,17.56030759,41.56138222,12.74532229,Choluteco
40.14708063,45.98401071,64.37587536,23.32766933,15.8469609,74.95678059,90.49153593,71.54961041,15.12539529,74.60477861,12.14747444,Eugene
75.79762739,41.58729241,36.49727919,45.2763969,11.05015809,57.45392319,55.89927494,74.34975308,6.569100237,41.94383702,11.09945056,Choluteco
80.58019232,42.94744764,27.05751581,41.56789718,13.37351295,57.59093488,59.21339349,67.65766311,26.05579493,41.76270592,11.26854609,Choluteco
45.74170377,77.59097251,70.74787677,53.88790802,22.45286805,64.07997997,70.21040738,59.78272089,19.0376204,69.3909484,12.98718484,Eugene
23.81712756,37.81860944,8.560431531,45.32258751,8.190349214,66.78124806,55.31670208,37.35267495,6.228422751,43.16756448,10.85948891,Baxan
44.06028835,21.39067544,95.18496117,60.40714858,11.89763061,68.81549858,35.69566008,22.51246571,5.791442609,60.94990433,11.92935227,Albukerke
81.78767232,41.73434933,38.45115355,67.51552816,9.821001083,56.61652073,56.52441458,66.85779429,16.44646522,48.38182846,12.7411487,Choluteco
79.30400596,42.91486056,35.27630781,58.80111552,20.42742584,62.86692393,57.79576417,54.2288431,18.07125719,43.12921588,12.69179698,Choluteco
70.56240084,17.12097513,71.70613941,68.34018608,13.62361171,50.76358284,4.443681519,68.20468045,18.64028784,57.62135471,8.514457195,Dum
72.93609706,76.35095606,54.86277473,5.321187851,23.61591072,68.24918887,53.01140263,66.57934874,6.034662189,76.14686316,12.19722414,Eugene
36.72287235,33.83483528,99.51924858,64.18419754,15.44452765,66.72920113,29.99803905,9.366667994,19.18210467,47.55369601,10.09329042,Albukerke
26.87718244,29.22594611,95.72396917,66.00630815,15.71095226,65.93799961,38.17491056,1.819075714,20.85167876,47.30602879,11.56385484,Albukerke
39.7371415,33.49960896,98.74002153,68.52265912,15.58111057,61.16079679,12.95333917,19.92954725,24.85726778,50.95815831,11.14289179,Albukerke
35.13710168,25.03917442,98.94131883,60.08211168,11.51431299,66.24583869,16.72519259,16.57088413,9.998405843,53.29656697,11.85841289,Albukerke
74.29848608,62.77293183,60.23714651,34.34803868,19.02543638,66.54428947,78.94106956,55.52316363,16.64773355,83.76424082,12.47144344,Eugene
77.09180564,40.67592852,32.65408627,70.19519761,0.829525344,56.53656638,58.26502147,60.87808522,32.53506695,47.46548801,11.8663422,Choluteco
49.16925132,27.29797664,99.66646939,65.96793089,17.78420191,68.41471642,98.41103054,17.47106523,26.59586025,56.21815036,11.65846176,Albukerke
38.7951153,36.0913202,10.52109127,67.67326395,0.68062833,42.82879199,53.8500812,46.50168257,23.26955134,68.36385987,10.10368026,Baxan
34.29037661,34.14005019,1.252875872,66.0132223,0.298042239,28.9041397,64.51821083,38.71451176,16.32520535,62.58518516,9.713077408,Baxan
49.26186269,78.19088476,58.56865146,1.501657628,17.36514818,74.49342951,78.35702666,38.3213861,6.830343793,85.84818043,13.11992694,Eugene
28.72966551,20.13949805,97.63867023,68.1437301,12.90896135,65.34407518,67.76775701,15.29857944,29.65761499,45.77540486,11.71869911,Albukerke
53.37595517,48.18939014,48.96965964,59.13831506,24.04197116,67.6422308,50.65648155,42.936671,9.15682519,75.00297132,12.10643296,Eugene
66.63045644,17.93292418,74.19373278,64.21700662,33.64203294,56.58259572,29.27466522,68.9689359,24.61673156,61.06261046,9.140336707,Dum
53.57475713,38.3095605,7.683352114,82.89224929,5.82336471,48.07559436,58.17415091,32.75430475,21.7490606,67.33663494,9.653788759,Baxan
80.34578365,43.66036708,32.51105424,53.8107741,15.25546771,73.26498251,58.30383529,72.37062573,8.553957794,46.27944253,11.92442066,Choluteco
78.21222311,40.18889683,32.01092616,56.74337847,19.14540988,67.93285278,59.81762569,73.91584083,26.70589669,47.15948952,12.64688341,Choluteco
57.74185837,39.91877548,8.393155061,67.27136776,0.98231727,18.22464633,59.42380731,31.34993612,10.89879906,40.70124842,10.53269996,Baxan
69.3407781,16.59730523,74.15719729,67.69933071,39.6755332,58.60042171,16.46338387,10.99920977,9.360035165,56.80623079,8.844901156,Dum
29.38097893,19.35685117,96.47211926,62.91753102,14.65441863,60.20452201,74.46775483,3.515316581,21.226993,47.68295915,10.28314449,Albukerke
79.78640621,42.78031296,29.1981712,50.05708589,8.077917889,62.67138797,58.06144663,53.33053885,23.39385011,45.72196684,11.16621884,Choluteco
28.10274947,17.4352267,95.17423575,61.18778425,17.40314612,68.23637431,8.0694767,21.19801141,27.17475202,60.20883627,10.9687496,Albukerke
42.75886708,17.52787052,95.89272872,67.13359485,16.23046147,61.9609133,94.21112101,1.930643548,6.871436595,60.96098787,11.27491361,Albukerke
46.83625909,32.67388498,99.65502356,64.94953876,19.34298405,65.38121133,88.10279196,18.31393684,5.250036839,49.35453508,10.94474326,Albukerke
45.05890654,53.86823726,54.15478177,46.67683268,22.061597,70.70548809,98.80005857,42.36075147,14.56034092,64.64310347,12.04443411,Eugene
31.63733682,38.13391472,7.007330122,64.72402246,11.46560319,72.27529129,52.76606469,42.59929755,15.88924797,67.85732959,10.14528035,Baxan
27.6547218,18.89008938,97.31764535,60.44730218,14.81739969,61.27696289,90.0334045,17.60463978,1.80796412,60.7902871,10.7488132,Albukerke
24.27352915,32.52682597,1.315406699,78.09423874,3.437530728,56.48397388,62.26455807,46.65853153,9.205766092,64.89061921,9.6773838,Baxan
84.01376783,40.4455882,42.6895983,35.02823062,12.91328109,55.71540095,59.84696457,69.60509205,19.95627392,40.16389889,12.54273754,Choluteco
36.54012126,34.56448698,98.75769743,69.41882748,19.85269751,65.73075656,48.66883197,17.7729915,25.71283237,54.69357682,10.71220507,Albukerke
62.84756264,19.40532245,70.56324982,65.20336209,41.26332269,52.48469193,36.60903544,63.14483128,22.10793422,59.00792173,8.20459152,Dum
78.98969708,41.75106458,43.76155448,46.29072588,9.028994326,60.80077033,59.84609451,64.73337348,33.75125838,41.65583114,12.34148968,Choluteco
36.55785835,53.14314448,71.98675296,5.376036558,21.58897361,45.11432232,67.28198792,35.70374687,13.25515216,79.55421827,12.96679761,Eugene
78.199925,43.37452256,26.61887032,24.48882547,11.90105937,61.38506513,56.59834444,55.38240122,17.61625393,43.21665984,11.90160437,Choluteco
41.66680952,63.86432003,53.94069104,39.3463128,24.5387544,47.35913129,89.783493,43.21676659,21.00554365,75.52577441,11.10365096,Eugene
47.37947774,32.78411924,9.373537127,51.38295652,2.871247208,48.41773772,47.23892506,27.24172029,19.24049336,65.60318932,9.126776922,Baxan
60.28958062,23.07893682,58.41316625,74.12929858,31.59977272,58.58285691,33.30692196,24.92070507,23.56089101,66.14842044,9.826033931,Dum
66.43267284,22.80529434,71.28689394,65.22028936,29.72028253,53.02988528,40.00829032,64.00727549,16.83963039,50.90335947,8.973555142,Dum
80.39621959,41.22476946,45.48077773,67.86701283,13.98931817,66.12066143,55.77289306,62.97743878,32.43399059,41.18874292,12.48401222,Choluteco
49.94785978,44.69504483,4.23635433,75.08844567,11.66113649,70.77233542,52.91606779,37.73832171,5.83094218,52.49441218,9.363866994,Baxan
57.18204193,18.42691956,61.4882037,69.68801678,11.5068616,59.37270619,16.07159639,19.99503877,5.080071634,50.72486078,8.161681654,Dum
70.1979559,22.35434378,48.50322828,73.76014889,35.59389368,58.37051916,32.52334395,64.40192494,24.34857124,68.38108732,9.922730858,Dum
80.89438822,41.27791895,30.82560415,63.71225383,3.882673675,65.37129985,58.98033609,54.17088975,3.492934515,41.83407363,11.09421036,Choluteco
80.85130485,43.62838962,34.80019446,59.89886934,1.325284796,70.35911216,55.02285394,71.62269317,32.41992461,46.54366783,12.11282165,Choluteco
26.97542409,24.59835453,96.38172415,68.74821382,16.43759814,60.97995286,51.2800574,1.581944664,14.48774401,55.43883505,10.89145373,Albukerke
67.66599404,20.23090041,45.93477306,72.65479106,12.86155178,50.40824909,47.18841376,84.80539077,17.37880037,52.962731,9.302480116,Dum
67.49456847,23.89122877,49.94838596,69.10053178,35.56641047,59.95168752,37.02992327,9.7698429,15.2431831,69.27719706,8.73302936,Dum
15.06063212,37.80155735,1.226259552,63.94672634,9.544481226,16.37734426,61.58824952,44.13442921,8.173015448,63.90518214,10.3234448,Baxan
59.8251087,16.74905064,45.00139651,60.16774447,41.43224558,51.11940911,17.66844904,7.338014993,15.04908524,50.53290126,9.200185011,Dum
36.37874155,45.88684713,59.25723101,56.21922745,18.71956223,69.54862734,78.89372677,30.62340922,10.75703338,71.84767907,13.66879839,Eugene
65.10433251,21.59471203,52.85873426,65.33430691,31.77910501,56.10080949,39.92944243,45.17988153,24.17833817,74.01246396,9.18548808,Dum
77.65554807,43.22671339,29.64996537,75.1063127,10.38099994,65.48370778,57.40294571,59.66400825,7.642292917,49.53556359,12.592574,Choluteco
65.24270403,71.52396818,53.5482824,3.896130994,24.60365869,68.97679033,59.91587173,73.41732514,10.99605943,86.54370548,12.50283454,Eugene
